iter	MultiClass
0	1.073770658
1	1.05316169
2	1.026102874
3	1.003037289
4	0.9822968261
5	0.9641117825
6	0.9480633087
7	0.9282141067
8	0.912065691
9	0.8971177891
10	0.8786599061
11	0.8671116113
12	0.8504051671
13	0.8365224357
14	0.8283414041
15	0.8133991301
16	0.802054087
17	0.7875897689
18	0.7750053495
19	0.7595171437
20	0.747139316
21	0.7356194728
22	0.7263922865
23	0.7165637859
24	0.7050005441
25	0.6938519757
26	0.68671736
27	0.6773888135
28	0.6681963156
29	0.658383375
30	0.6467789908
31	0.6370077303
32	0.6278011316
33	0.6194440674
34	0.6094384135
35	0.5992440938
36	0.5897765045
37	0.5819681245
38	0.5745552027
39	0.565035048
40	0.5583506576
41	0.5495900556
42	0.5438201493
43	0.5379165557
44	0.530650955
45	0.5252547346
46	0.5190470784
47	0.5129775844
48	0.5066577557
49	0.5004263868
50	0.496296552
51	0.4915490197
52	0.4864027724
53	0.4799034449
54	0.4753310309
55	0.47037044
56	0.466734161
57	0.4630443574
58	0.4576870286
59	0.453029323
60	0.4482842174
61	0.44393636
62	0.4397202849
63	0.4349038697
64	0.4297193367
65	0.4257311896
66	0.4220574483
67	0.4180422246
68	0.4144202594
69	0.4108103959
70	0.4069809031
71	0.4033804732
72	0.399147033
73	0.3962266828
74	0.3932872758
75	0.3901827924
76	0.3860506637
77	0.3827913306
78	0.3802867462
79	0.3777233933
80	0.3747270619
81	0.3717973671
82	0.3688952917
83	0.3662446279
84	0.3629645345
85	0.3607469009
86	0.3576299523
87	0.3547271958
88	0.3506433779
89	0.3481935579
90	0.3456430795
91	0.3429520344
92	0.3404982972
93	0.3378573728
94	0.3352216162
95	0.3329015924
96	0.3305233146
97	0.3279486686
98	0.32545062
99	0.3231292216
100	0.3214598952
101	0.319247201
102	0.3174143678
103	0.3144297503
104	0.3125495855
105	0.3104262897
106	0.3079296242
107	0.3060033743
108	0.3042728365
109	0.3018874781
110	0.2999878826
111	0.2975253038
112	0.2956899843
113	0.2936265483
114	0.2921732884
115	0.2903457489
116	0.2884717637
117	0.2869672871
118	0.2852521256
119	0.2831625739
120	0.2816475384
121	0.2792777276
122	0.2778849379
123	0.2757772084
124	0.2746009417
125	0.2730318964
126	0.2711843166
127	0.2694718785
128	0.2682093379
129	0.2666109152
130	0.2653275314
131	0.2639010859
132	0.2621403873
133	0.2603024439
134	0.2588078468
135	0.2568380102
136	0.2551736883
137	0.2539940508
138	0.2522760323
139	0.2505932093
140	0.2489573228
141	0.2477298695
142	0.2464146524
143	0.2452520308
144	0.2439884274
145	0.2430712736
146	0.2415760371
147	0.2403216562
148	0.239204863
