iter	Passed	Remaining
0	30	46243
1	288	216190
2	420	209747
3	604	226060
4	837	250435
5	939	233961
6	1175	250820
7	1217	226996
8	1451	240418
9	1722	256681
10	1770	239650
11	1928	239087
12	2177	249060
13	2314	245630
14	2330	230738
15	2498	231781
16	2579	225034
17	2752	226588
18	2933	228644
19	3152	233303
20	3204	225688
21	3441	231202
22	3649	234332
23	3889	239223
24	4129	243617
25	4358	247076
26	4466	243678
27	4751	249769
28	4960	251603
29	5226	256086
30	5403	256068
31	5615	257589
32	5637	250628
33	5842	251897
34	5891	246615
35	5956	242226
36	6173	244091
37	6401	246293
38	6681	250299
39	6703	244671
40	6804	242141
41	6850	237809
42	7135	241780
43	7285	241099
44	7409	239573
45	7501	237125
46	7740	239293
47	7870	238067
48	7918	234488
49	8010	232300
50	8188	232649
51	8350	232537
52	8535	233029
53	8688	232661
54	8844	232371
55	8984	231668
56	9030	228611
57	9056	225160
58	9278	226606
59	9458	227011
60	9607	226632
61	9750	226158
62	9881	225395
63	10121	227110
64	10289	227170
65	10365	225216
66	10508	224758
67	10740	226182
68	10905	226178
69	11127	227312
70	11310	227640
71	11476	227619
72	11638	227515
73	11829	227965
74	11905	226202
75	12151	227682
76	12327	227825
77	12536	228545
78	12594	226533
79	12773	226725
80	12958	227005
81	13172	227794
82	13364	228169
83	13555	228502
84	13816	230008
85	14078	231479
86	14254	231510
87	14464	232086
88	14587	231264
89	14852	232695
90	15051	233055
91	15282	233889
92	15536	235050
93	15740	235437
94	15973	236233
95	16198	236901
96	16340	236343
97	16522	236379
98	16840	238312
99	17117	239645
100	17323	239958
101	17383	238256
102	17621	239005
103	17863	239777
104	18010	239280
105	18153	238737
106	18368	239128
107	18620	240001
108	18849	240543
109	19087	241202
110	19270	241144
111	19468	241265
112	19711	241945
113	19914	242113
114	20102	242100
115	20331	242571
116	20509	242432
117	20750	243021
118	20958	243227
119	21066	242269
120	21247	242153
121	21526	243142
122	21753	243528
123	21927	243319
124	22266	244936
125	22523	245612
126	22787	246353
127	23132	247947
128	23384	248523
129	23838	251220
130	24193	252832
131	24377	252639
132	24664	253508
133	24823	253055
134	25165	254446
135	25315	253899
136	25438	253087
137	25610	252766
138	25792	252547
139	25960	252185
140	26072	251290
141	26310	251615
142	26498	251457
143	26662	251072
144	26849	250904
145	26999	250396
146	27170	250076
147	27349	249843
148	27625	250482
149	27835	250515
150	28039	250502
151	28198	250071
152	28409	250115
153	28608	250044
154	28798	249894
155	28933	249270
156	29094	248881
157	29306	248919
158	29494	248752
159	29677	248548
160	29836	248141
161	30040	248109
162	30230	247964
163	30415	247773
164	30624	247778
165	30794	247466
166	30935	246925
167	31089	246493
168	31247	246096
169	31432	245914
170	31610	245672
171	31751	245149
172	31936	244968
173	32145	244970
174	32329	244780
175	32490	244413
176	32636	243947
177	32817	243736
178	32982	243406
179	33170	243250
180	33382	243270
181	33545	242931
182	33720	242677
183	33891	242395
184	34066	242148
185	34269	242099
186	34574	242760
187	34721	242313
188	34916	242197
189	35125	242179
190	35343	242221
191	35510	241915
192	35690	241694
193	35881	241550
194	36076	241434
195	36234	241070
196	36468	241213
197	36660	241068
198	36840	240850
199	37011	240573
200	37181	240294
201	37330	239874
202	37528	239774
203	37689	239440
204	37864	239195
205	38018	238813
206	38406	239898
207	38600	239769
208	38762	239437
209	38891	238903
210	39057	238605
211	39304	238794
212	39603	239296
213	39793	239131
214	40033	239270
215	40331	239746
216	40601	240052
217	40813	240014
218	41039	240051
219	41209	239764
220	41377	239463
221	41657	239810
222	41828	239528
223	42000	239250
224	42259	239470
225	42464	239381
226	42753	239759
227	42931	239513
228	43073	239067
229	43273	238943
230	43406	238454
231	43570	238134
232	43717	237723
233	43896	237490
234	44105	237421
235	44290	237217
236	44488	237084
237	44634	236673
238	44805	236399
239	44980	236147
240	45199	236125
241	45419	236108
242	45619	235982
243	45808	235802
244	45971	235484
245	46214	235582
246	46382	235293
247	46527	234890
248	46708	234667
249	46898	234494
250	47050	234128
251	47250	234000
252	47444	233848
253	47625	233625
254	47812	233436
255	47963	233072
256	48173	232992
257	48378	232889
258	48558	232667
259	48760	232550
260	48967	232453
261	49122	232113
262	49373	232225
263	49565	232058
264	49741	231816
265	49898	231483
266	50074	231244
267	50270	231094
268	50431	230782
269	50650	230740
270	50787	230324
271	50968	230109
272	51175	230007
273	51344	229737
274	51564	229694
275	51727	229400
276	51931	229286
277	52151	229241
278	52285	228820
279	52475	228643
280	52679	228528
281	52873	228366
282	53115	228415
283	53310	228260
284	53456	227893
285	53595	227498
286	53806	227412
287	53975	227147
288	54133	226837
289	54428	227096
290	54656	227076
291	54842	226884
292	55001	226576
293	55180	226353
294	55334	226026
295	55512	225799
296	55695	225594
297	55961	225724
298	56173	225633
299	56374	225499
300	56552	225271
301	56752	225129
302	56952	224991
303	57180	224959
304	57361	224742
305	57624	224850
306	57790	224571
307	58028	224579
308	58207	224353
309	58342	223961
310	58539	223805
311	58708	223542
312	58943	223532
313	59105	223243
314	59359	223305
315	59510	222974
316	59751	222982
317	59930	222761
318	60172	222771
319	60354	222557
320	60569	222465
321	60720	222139
322	60904	221933
323	61085	221716
324	61268	221509
325	61480	221405
326	61671	221224
327	61917	221243
328	62087	220986
329	62400	221238
330	62661	221301
331	62860	221148
332	63103	221147
333	63343	221134
334	63635	221299
335	63868	221257
336	64164	221435
337	64428	221496
338	64648	221405
339	64822	221157
340	65037	221050
341	65234	220882
342	65410	220641
343	65641	220586
344	65803	220299
345	66042	220267
346	66226	220054
347	66450	219973
348	66679	219908
349	66901	219818
350	67080	219586
351	67352	219661
352	67494	219309
353	67698	219158
354	67872	218911
355	68065	218727
356	68294	218655
357	68523	218587
358	68806	218686
359	69054	218671
360	69287	218609
361	69501	218486
362	69706	218336
363	69918	218206
364	70117	218037
365	70346	217959
366	70576	217883
367	70786	217745
368	71006	217638
369	71241	217576
370	71455	217446
371	71680	217354
372	71978	217479
373	72233	217473
374	72471	217413
375	72699	217324
376	72931	217247
377	73191	217251
378	73457	217270
379	73622	216992
380	73823	216819
381	74068	216777
382	74321	216754
383	74515	216561
384	74764	216525
385	74994	216435
386	75190	216246
387	75379	216035
388	75549	215773
389	75737	215560
390	75919	215332
391	76124	215169
392	76321	214982
393	76557	214904
394	76798	214842
395	77012	214701
396	77259	214653
397	77507	214605
398	77688	214374
399	77874	214154
400	78138	214149
401	78415	214180
402	78625	214024
403	78835	213870
404	79010	213620
405	79205	213424
406	79442	213344
407	79658	213203
408	79810	212893
409	79990	212657
410	80230	212580
411	80458	212473
412	80678	212343
413	80852	212091
414	81093	212015
415	81364	212016
416	81590	211899
417	81843	211854
418	82028	211630
419	82302	211634
420	82451	211318
421	82672	211186
422	82934	211158
423	83202	211146
